X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
1274396.5,228053.4844,13138,670887,,DIAMOND PARKING  A429,JONATHAN DIAMOND,2062843100,"1110 E PINE ST, SEATTLE, WA 98122",24,DIAMOND PARKING  A429,,,,,,,,,,,,,,,N,,,
1271476.375,230641.8439,13139,635166,,DIAMOND PARKING  A275,JONATHAN DIAMOND,2062846303,"411 EASTLAKE AVE E, SEATTLE, WA 98109",26,DIAMOND PARKING  A275,,,,,,,,,,,,,,,N,,,
1275042.25,228007.7813,13140,645761,,DIAMOND PARKING  A875,JONATHAN DIAMOND,2062846303,"1320 E PINE ST, SEATTLE, WA 98112",52,DIAMOND PARKING  A875,,,,,,,,,,,,,,,N,,,
1274407.25,245036.3281,13141,729360,,DIAMOND PARKING SVCS WX41,JONATHAN DIAMOND,2062843100,"4525 9TH AVE NE, SEATTLE, WA 98105",22,DIAMOND PARKING SVCS WX41,,,,,,,,,,,,,,,N,,,
1261283.25,233277.9532,13142,639537,,DIAMOND PARKING  A312,JONATHAN DIAMOND,2062843100,"1110 ELLIOTT AVE W, SEATTLE, WA 98119",13,DIAMOND PARKING  A312,,,,,,,,,,,,,,,N,,,
1261283.25,233277.9532,13143,740687,,DIAMOND PARKING A312,JONATHAN DIAMOND,2062843100,"1110 ELLIOTT AVE W, SEATTLE, WA 98119",33,DIAMOND PARKING A312,,,,,,,,,,,,,,,N,,,
1268592.25,225222.8907,13144,652556,,REPUBLIC 30 179,GARY BECK,2067871246,"1403 WESTERN AVE, SEATTLE, WA 98121",50,REPUBLIC 30 179,,,,,,,,,,,,,,,N,,,
1271744.625,235915.2345,13145,720871,,DIAMOND PARKING  A659,JONATHAN DIAMOND,2062843100,"2000 FAIRVIEW AVE E, SEATTLE, WA 98102",25,DIAMOND PARKING  A659,,,,,,,,,,,,,,,N,,,
1270430.875,226432.7656,13146,540891,,ACE PARKING  3273 SHERATON PRKG GARAGE,KEITH JONES,6192336624,"1400 6TH AVE AV, SEATTLE, WA 98101",300,ACE PARKING  3273 SHERATON PRKG GARAGE,,,,,,,,,,,,,,,N,,,
1271043.25,224109.6718,13147,726758,,ABM PARKING,,2062670725,"701 5TH AVE, SEATTLE, WA 98104",703,ABM PARKING,,,,,,,,,,,,,,,N,,,
1270381.5,216792.75,13148,717150,,DIAMOND PARKING  A641,JONATHAN DIAMOND,2062843100,"1900 OCCIDENTAL AVE S, SEATTLE, WA 98134",95,DIAMOND PARKING  A641,,,,,,,,,,,,,,,N,,,
1266572.375,246422,13149,556115,,WOODLAND PARK ZOO LOT  1,WOODLAND PARK ZOO SOCIETY,2062332503,"600 N 50TH ST, SEATTLE, WA 98103",276,WOODLAND PARK ZOO LOT  1,,,,,,,,,,,,,,,N,,,
1266500.5,240731.5624,13150,637241,,DIAMOND PARKING  WU78,JONATHAN DIAMOND,2062843100,"620 N 34TH ST, SEATTLE, WA 98103",95,DIAMOND PARKING  WU78,,,,,,,,,,,,,,,N,,,
1271545.25,221652.6563,13151,517528,,UNION STATION PARKING GARAGE NORTH,JOAN SUNDBERG,2062540811,"550 4TH AVE S, SEATTLE, WA 98104",477,UNION STATION PARKING GARAGE NORTH,,,,,,,,,,,,,,,N,,,
1267393.375,226363.8125,13152,639408,,30 129 LENORA LOT,GARY BECK,2067834144,"50 LENORA ST, SEATTLE, WA 98101",53,30 129 LENORA LOT,,,,,,,,,,,,,,,N,,,
1265735.794,246418.1083,13153,556116,,WOODLAND PARK ZOO LOT  2,WOODLAND PARK ZOO SOCIETY,2062332503,"5000 PHINNEY AVE N, SEATTLE, WA 98103",140,WOODLAND PARK ZOO LOT  2,,,,,,,,,,,,,,,N,,,
1272253.375,222691.6251,13154,690382,,UNITED PARKING  4591,JONATHAN DIAMOND,2062843100,"601 S WASHINGTON ST, SEATTLE, WA 98104",40,UNITED PARKING  4591,,,,,,,,,,,,,,,N,,,
1271854.625,222251.0624,13155,543204,,IPM  23,JOAN SUNDBERG,2069327809,"500 S JACKSON ST, SEATTLE, WA 98104",100,IPM  23,,,,,,,,,,,,,,,N,,,
1270282.625,225402.3282,13156,639444,,THE FAIRMONT OLYMPIC HOTEL VALET PARKING MGT,KEITH JONES,2066525515,"411 UNIVERSITY ST, SEATTLE, WA 98101",0,THE FAIRMONT OLYMPIC HOTEL VALET PARKING MGT,,,,,,,,,,,,,,,N,,,
1274482,243626.0313,13157,723322,,IMPARK   4225 ROOSEVELT WAY NE,EDWARD DANYLUK,2063811789,"4225 ROOSEVELT WAY NE, SEATTLE, WA 98105",205,IMPARK   4225 ROOSEVELT WAY NE,,,,,,,,,,,,,,,N,,,
1274488.75,243855.7657,13158,723324,,IMPARK 143,EDWARD DANYLUK,2063811789,"4245 ROOSEVELT WAY NE, SEATTLE, WA 98105",205,IMPARK 143,,,,,,,,,,,,,,,N,,,
1274580.875,223604.9845,13159,583158,,DIAMOND PARKING  A492,JONATHAN DIAMOND,2069929475,"1203 E SPRUCE ST, SEATTLE, WA 98102",30,DIAMOND PARKING  A492,,,,,,,,,,,,,,,N,,,
1266662.75,227346.9375,13160,614641,,REPUBLIC PARKING 245 MARS HILL CHURCH LOT,GARY BECK,2067834144,"2333 WESTERN AVE, SEATTLE, WA 98121",22,REPUBLIC PARKING 245 MARS HILL CHURCH LOT,,,,,,,,,,,,,,,N,,,
1266749.75,227082.8282,13161,733310,,IMPARK 138,EDWARD DANYLUK,2063811789,"2300 ELLIOTT AVE, SEATTLE, WA 98121",127,IMPARK 138,,,,,,,,,,,,,,,N,,,
1258490.125,247296.6407,13162,717275,,REPUBLIC PARKING  109,GARY BECK,2067834144,"5433 LEARY AVE NW, SEATTLE, WA 98107",28,REPUBLIC PARKING  109,,,,,,,,,,,,,,,N,,,
1274133.125,227032.8124,13163,679931,,DIAMOND PARKING  A454,JONATHAN DIAMOND,2062843100,"1161 11TH AVE, SEATTLE, WA 98122",9,DIAMOND PARKING  A454,,,,,,,,,,,,,,,N,,,
1274634.25,227285.2343,13164,586728,,DIAMOND PARKING  A947,JONATHAN DIAMOND,2062846303,"1412 12TH AVE E, SEATTLE, WA 98102",36,DIAMOND PARKING  A947,,,,,,,,,,,,,,,N,,,
1268563.125,228490.297,13165,530472,,IMPARK  4,EDWARD DANYLUK,2063811789,"2200 6TH AVE, SEATTLE, WA 98101",213,IMPARK  4,,,,,,,,,,,,,,,N,,,
1269973.5,218054.3751,13166,662686,,REPUBLIC PARKING 30 145,GARY BECK,2067834144,"1701 1ST AVE S, SEATTLE, WA 98134",60,REPUBLIC PARKING 30 145,,,,,,,,,,,,,,,N,,,
1276062.125,247255.0624,13167,728488,,DIAMOND PARKING SERVICES WX27,JONATHAN DIAMOND,2062843100,"5263 15TH AVE NE, SEATTLE, WA 98105",5,DIAMOND PARKING SERVICES WX27,,,,,,,,,,,,,,,N,,,
1275612.875,245822.4376,13168,637245,,DIAMOND PARKING  WU57,JONATHAN DIAMOND,2062843100,"4732 BROOKLYN AVE NE, SEATTLE, WA 98105",10,DIAMOND PARKING  WU57,,,,,,,,,,,,,,,N,,,
1275719.625,245650.1094,13169,593922,,DIAMOND  WU58,JONATHAN DIAMOND,2062843100,"4725 UNIVERSITY WAY NE, SEATTLE, WA 98105",63,DIAMOND  WU58,,,,,,,,,,,,,,,N,,,
1275729.25,245512.9686,13170,690568,,DIAMOND PARKING  WU77   B OF A,JONATHAN DIAMOND,2062843100,"4701 UNIVERSITY WAY NE, SEATTLE, WA 98105",36,DIAMOND PARKING  WU77   B OF A,,,,,,,,,,,,,,,N,,,
1266030.625,228779.0312,13171,729620,,LAZ PARKING BAY VISTA,ALAN LAZOWSKI,8605227641,"2821 2ND AVE, SEATTLE, WA 98121-1282",173,LAZ PARKING BAY VISTA,,,,,,,,,,,,,,,N,,,
1274333.5,251000.4062,13172,673071,,DIAMOND PARKING  WU11,JONATHAN DIAMOND,2062843100,"6801 ROOSEVELT WAY NE, SEATTLE, WA 98115",155,DIAMOND PARKING  WU11,,,,,,,,,,,,,,,N,,,
1270232.5,220027.4843,13173,125205,,DOME PARKING,MARVIN APPLE,4253491700,"1030 1ST AVE S, SEATTLE, WA 98134",120,DOME PARKING,,,,,,,,,,,,,,,N,,,
1258701.25,246884.2344,13174,701367,,BALLARD PARKING,JAMES RIGGLE,2067895010,"5216 BALLARD AVE NW, SEATTLE, WA 98107",66,BALLARD PARKING,,,,,,,,,,,,,,,N,,,
1273440,228526.0313,13175,635154,,DIAMOND PARKING  A025,JONATHAN DIAMOND,2062846303,"1701 BROADWAY, SEATTLE, WA 98122",36,DIAMOND PARKING  A025,,,,,,,,,,,,,,,N,,,
1274552.75,243974.3439,13176,4548,,U PARK 43,KEN JR PHILLIPS,2062849797,"4259 ROOSEVELT WAY NE, SEATTLE, WA 98015",15,U PARK 43,,,,,,,,,,,,,,,N,,,
1270143.875,215485.9688,13177,667144,,DIAMOND PARKING  420,JONATHAN DIAMOND,2062843100,"2430 1ST AVE S, SEATTLE, WA 98134",36,DIAMOND PARKING  420,,,,,,,,,,,,,,,N,,,
1269901.875,225282.0313,13178,672586,,IMPARK 114,EDWARD DANYLUK,2063811789,"1218 3RD AVE, SEATTLE, WA 98101",53,IMPARK 114,,,,,,,,,,,,,,,N,,,
1266717,227725.9844,13179,581999,,DIAMOND PARKING  A921,JONATHAN DIAMOND,2062843100,"2407 1ST AVE, SEATTLE, WA 98121",63,DIAMOND PARKING  A921,,,,,,,,,,,,,,,N,,,
1275400,227643.4375,13180,728486,,DIAMOND PARKING SERVICES A669 A670,JONATHAN DIAMOND,2062843100,"1420 E MADISON ST, SEATTLE, WA 98122",40,DIAMOND PARKING SERVICES A669 A670,,,,,,,,,,,,,,,N,,,
1270588.5,227534.8438,13181,692663,,WORLDMARK AT THE CAMLIN,ANTHONY GIARRATANA,6155642858,"1619 9TH AVE, SEATTLE, WA 98101-1824",40,WORLDMARK AT THE CAMLIN,,,,,,,,,,,,,,,N,,,
1275283.75,227834.6718,13182,583622,,DIAMOND PARKING  A936,JONATHAN DIAMOND,2069929436,"1522 14TH AVE, SEATTLE, WA 98122",57,DIAMOND PARKING  A936,,,,,,,,,,,,,,,N,,,
1264682.5,231416.9374,13183,713343,,DIAMOND PARKING A642,JONATHAN DIAMOND,2062843100,"11 W MERCER ST, SEATTLE, WA 98119",15,DIAMOND PARKING A642,,,,,,,,,,,,,,,N,,,
1264851.875,231125.7499,13184,661551,,DIAMOND PARKING  A396,JONATHAN DIAMOND,2062843100,"500 QUEEN ANNE AVE N, SEATTLE, WA 98109",13,DIAMOND PARKING  A396,,,,,,,,,,,,,,,N,,,
1269497.125,231248.2812,13185,642662,,AMAZON GARAGE 82170,BILL BEATTIE,2066247040,"535 TERRY AVE N, SEATTLE, WA 98109-4361",152,AMAZON GARAGE 82170,,,,,,,,,,,,,,,N,,,
1271998.5,227936.0467,13186,734647,,REPUBLIC PARKING 30 125,GARY BECK,2067834144,"1535 BELLEVUE WAY, SEATTLE, WA 98122",35,REPUBLIC PARKING 30 125,,,,,,,,,,,,,,,N,,,
1273093,226334.1562,13187,596046,,FIRST HILL PLAZA GARAGE 41134,BILL BEATTIE,2063818552,"1300 MADISON ST, SEATTLE, WA 98104-1315",72,FIRST HILL PLAZA GARAGE 41134,,,,,,,,,,,,,,,N,,,
1272854.75,225965.4532,13188,4610,,U PARK 106,KEN JR PHILLIPS,2066245353,"1201 MADISON ST, SEATTLE, WA 98104",35,U PARK 106,,,,,,,,,,,,,,,N,,,
1272671.5,225782.125,13189,670307,,MARION & MINOR GARAGE,ANTHONY GIARRATANA,6152382250,"1101 MADISON ST, SEATTLE, WA 98104-1306",1025,MARION & MINOR GARAGE,,,,,,,,,,,,,,,N,,,
1271253.72,224277.891,13190,614872,,IMPARK  65,EDWARD DANYLUK,2063811789,"700 5TH AVE, SEATTLE, WA 98104",589,IMPARK  65,,,,,,,,,,,,,,,N,,,
1273353.5,229901.0626,13191,593917,,DIAMOND  PARKING  A496,JONATHAN DIAMOND,2062843100,"218 HARVARD AVE E, SEATTLE, WA 98102",22,DIAMOND  PARKING  A496,,,,,,,,,,,,,,,N,,,
1270254.25,227435.9374,13192,729935,,81762 HYATT OLIVE 8,BILL BEATTIE,2063818552,"1635 8TH AVE, SEATTLE, WA 98101",100,81762 HYATT OLIVE 8,,,,,,,,,,,,,,,N,,,
1269504.75,226835.4687,13193,656512,,REPUBLIC PARKING 590 WESTLAKE CENTER,GARY BECK,2067834144,"1601 5TH AVE, SEATTLE, WA 98101",256,REPUBLIC PARKING 590 WESTLAKE CENTER,,,,,,,,,,,,,,,N,,,
1271302.25,233339.1405,13194,638926,,DIAMOND PARKING  A048,JONATHAN DIAMOND,2062843100,"1111 FAIRVIEW AVE N, SEATTLE, WA 98109",66,DIAMOND PARKING  A048,,,,,,,,,,,,,,,N,,,
1258103.125,248156.4999,13195,716441,,BALLARD COMMONS,ANTHONY GIARRATANA,6155642858,"5601 22ND AVE NW, SEATTLE, WA 98107-3119",0,BALLARD COMMONS,,,,,,,,,,,,,,,N,,,
1274281.125,244635.6564,13196,665262,,DIAMOND PARKING  WU64,JONATHAN DIAMOND,2062843100,"809 NE 45TH ST, SEATTLE, WA 98105",100,DIAMOND PARKING  WU64,,,,,,,,,,,,,,,N,,,
1259376.5,247821.4845,13197,718789,,DIAMOND PARKING  A654,JONATHAN DIAMOND,2062843100,"1722 NW MARKET ST, SEATTLE, WA 98107",18,DIAMOND PARKING  A654,,,,,,,,,,,,,,,N,,,
1265710.25,227774.2343,13198,733392,,IMPARK 161,EDWARD DANYLUK,2063811789,"2601 ELLIOTT AVE, SEATTLE, WA 98121",592,IMPARK 161,,,,,,,,,,,,,,,N,,,
1268572.5,227188.2344,13199,4529,,U PARK 24,KEN JR PHILLIPS,2062849797,"2010 3RD AVE, SEATTLE, WA 98121",44,U PARK 24,,,,,,,,,,,,,,,N,,,
1268401.5,226896.4686,13200,715228,,LAZ PARKING,ALAN LAZOWSKI,8605227641,"2000 2ND AVE, SEATTLE, WA 98121-2234",0,LAZ PARKING,,,,,,,,,,,,,,,N,,,
1264562.875,231301.3124,13201,573814,,DIAMOND PARKING  A844,JONATHAN DIAMOND,2062846303,"516 1ST AVE W, SEATTLE, WA 98119",13,DIAMOND PARKING  A844,,,,,,,,,,,,,,,N,,,
1275585.75,244841.2187,13202,625132,,DIAMOND PARKING  WU50,JONATHAN DIAMOND,2062843100,"1300 NE 45TH ST, SEATTLE, WA 98105",51,DIAMOND PARKING  WU50,,,,,,,,,,,,,,,N,,,
1275607.625,245137.047,13203,52864,,U DISTRICT PARKING 10,,2065277006,"4526 BROOKLYN AVE NE, SEATTLE, WA 98105",72,U DISTRICT PARKING 10,,,,,,,,,,,,,,,N,,,
1269570.25,224722.9375,13204,723329,,IMPARK  155,EDWARD DANYLUK,2063811789,"1191 2ND AVE, SEATTLE, WA 98101",310,IMPARK  155,,,,,,,,,,,,,,,N,,,
1269591.375,224604.1875,13205,723326,,IMPARK  156,EDWARD DANYLUK,2063811789,"1101 2ND AVE, SEATTLE, WA 98101",121,IMPARK  156,,,,,,,,,,,,,,,N,,,
1275451,227864.5157,13206,677040,,UNITED PARKING LOT 4596,JONATHAN DIAMOND,2062843100,"1527 15TH AVE, SEATTLE, WA 98112",12,UNITED PARKING LOT 4596,,,,,,,,,,,,,,,N,,,
1269756,227367.7344,13207,605780,,IMPARK  58,EDWARD DANYLUK,2063811789,"600 OLIVE WAY, SEATTLE, WA 98101",233,IMPARK  58,,,,,,,,,,,,,,,N,,,
1271534.625,224047.2813,13208,614874,,IMPARK  66,EDWARD DANYLUK,2063811789,"609 6TH AVE, SEATTLE, WA 98104",490,IMPARK  66,,,,,,,,,,,,,,,N,,,
1271534.625,224047.2813,13209,531661,,SEAPARK AUTO PARKING GARAGE REVENUE,,2063864038,"609 6TH AVE, SEATTLE, WA 98104",0,SEAPARK AUTO PARKING GARAGE REVENUE,,,,,,,,,,,,,,,N,,,
1271534.625,224047.2813,13210,531661,,SEAPARK AUTO PARKING GARAGE REVENUE,,6192336624,"609 6TH AVE, SEATTLE, WA 98104",0,SEAPARK AUTO PARKING GARAGE REVENUE,,,,,,,,,,,,,,,N,,,
1268018.875,227851.2501,13211,645726,,DIAMOND PARKING  A009,JONATHAN DIAMOND,2062846303,"2201 4TH AVE, SEATTLE, WA 98121",146,DIAMOND PARKING  A009,,,,,,,,,,,,,,,N,,,
1269970,227179.578,13212,729619,,LAZ PARKING PACIFIC PLACE,ALAN LAZOWSKI,8605227641,"600 PINE ST, SEATTLE, WA 98101-3700",1210,LAZ PARKING PACIFIC PLACE,,,,,,,,,,,,,,,N,,,
1269970,227179.578,13213,716742,,MPH PP GARAGE LLC,MPH PP GARAGE LP,2027413857,"600 PINE ST # 228, SEATTLE, WA 98101-3705",0,MPH PP GARAGE LLC,,,,,,,,,,,,,,,N,,,
1273680.625,231504.7188,13214,620708,,DIAMOND PARKING  A110,JONATHAN DIAMOND,2062843100,"622 BROADWAY E, SEATTLE, WA 98102",25,DIAMOND PARKING  A110,,,,,,,,,,,,,,,N,,,
1273680.625,231504.7188,13215,645735,,DIAMOND PARKING  A314,JONATHAN DIAMOND,2062846303,"622 BROADWAY E, SEATTLE, WA 98102",18,DIAMOND PARKING  A314,,,,,,,,,,,,,,,N,,,
1271167,228908.6094,13216,688894,,IPM MET PARK NORTH,JOAN SUNDBERG,2062540811,"1220 HOWELL ST, SEATTLE, WA 98101-1469",585,IPM MET PARK NORTH,,,,,,,,,,,,,,,N,,,
1270439.875,224470.1718,13217,635357,,DIAMOND PARKING  A966,JONATHAN DIAMOND,2062843100,"925 4TH AVE, SEATTLE, WA 98104",500,DIAMOND PARKING  A966,,,,,,,,,,,,,,,N,,,
1271452.375,226093.7343,13218,529804,,BENAROYA RESEARCH INSTITUTE PARKING,VIRGINIA MASON HOSPITAL,2062236600,"1201 9TH AVE, SEATTLE, WA 98101",275,BENAROYA RESEARCH INSTITUTE PARKING,,,,,,,,,,,,,,,N,,,
1271452.375,226093.7343,13219,726751,,ABM PARKING 6174,,2062670446,"1201 9TH AVE, SEATTLE, WA 98101",275,ABM PARKING 6174,,,,,,,,,,,,,,,N,,,
1273397.5,226948.1407,13220,4597,,U PARK 93,KEN JR PHILLIPS,2062849797,"1145 BROADWAY, SEATTLE, WA 98122",30,U PARK 93,,,,,,,,,,,,,,,N,,,
1269920.25,224868.1095,13221,692708,,ACE PARKING LOT 3275 1111 3RD AVE GARAGE,KEITH JONES,6192336624,"1111 3RD AVE, SEATTLE, WA 98101",366,ACE PARKING LOT 3275 1111 3RD AVE GARAGE,,,,,,,,,,,,,,,N,,,
1254384.625,247241.7968,13222,734646,,REPUBLIC PARKING 30 39,GARY BECK,2067834144,"5300 34TH AVE NE, SEATTLE, WA 98109",50,REPUBLIC PARKING 30 39,,,,,,,,,,,,,,,N,,,
1273444.875,230639.6251,13223,723325,,IMPARK  154,EDWARD DANYLUK,2063811789,"401 BROADWAY E, SEATTLE, WA 98102",230,IMPARK  154,,,,,,,,,,,,,,,N,,,
1270963.75,222010.2186,13224,634905,,DIAMOND PARKING  A005,JONATHAN DIAMOND,2062843100,"201 S JACKSON ST, SEATTLE, WA 98104",242,DIAMOND PARKING  A005,,,,,,,,,,,,,,,N,,,
1268167.125,227312.7031,13225,666783,,DIAMOND PARKING  A419,JONATHAN DIAMOND,2062843100,"2101 3RD AVE, SEATTLE, WA 98101",22,DIAMOND PARKING  A419,,,,,,,,,,,,,,,N,,,
1274370.629,203470.7621,13226,730226,,DIAMOND PARKING SERVICES A674,JONATHAN DIAMOND,2062843100,"6101 AIRPORT WAY S, SEATTLE, WA 98108",55,DIAMOND PARKING SERVICES A674,,,,,,,,,,,,,,,N,,,
1270755.75,225777.2187,13227,613634,,ACE PARKING  3278 PARK PLACE BUILDING,KEITH JONES,2069031219,"1200 6TH AVE, SEATTLE, WA 98101",165,ACE PARKING  3278 PARK PLACE BUILDING,,,,,,,,,,,,,,,N,,,
1270597.875,225625.2656,13228,631784,,ACE PARKING  3215 PLYMOUTH CHURCH,KEITH JONES,2066224865,"1217 6TH AVE, SEATTLE, WA 98101",85,ACE PARKING  3215 PLYMOUTH CHURCH,,,,,,,,,,,,,,,N,,,
1267601.125,226471.5624,13229,673394,,REPUBLIC PARKING 30 593 MARKET PLACE GARAGE,GARY BECK,2067834144,"65 LENORA ST, SEATTLE, WA 98121",412,REPUBLIC PARKING 30 593 MARKET PLACE GARAGE,,,,,,,,,,,,,,,N,,,
1270655.375,223596.6563,13230,583930,,UNITED PARKING  4590,JONATHAN DIAMOND,2062846303,"213 CHERRY ST, SEATTLE, WA 98104",225,UNITED PARKING  4590,,,,,,,,,,,,,,,N,,,
1270560.625,223538.8438,13231,695646,,TOWNE PARK LLC,MARK NORWICZ,4102958070,"612 2ND AVE, SEATTLE, WA 98104",0,TOWNE PARK LLC,,,,,,,,,,,,,,,N,,,
1268001.625,225677.5469,13232,593926,,DIAMOND   A172,JONATHAN DIAMOND,2062843100,"1524 ALASKAN WAY, SEATTLE, WA 98101",60,DIAMOND   A172,,,,,,,,,,,,,,,N,,,
1270754.125,226264.2188,13233,165552,,TWO UNION SQUARE  80474 CONSOLIDATED,BILL BEATTIE,2063818552,"601 UNION ST, SEATTLE, WA 98101-2341",1016,TWO UNION SQUARE  80474 CONSOLIDATED,,,,,,,,,,,,,,,N,,,
